fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	learning_rate	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 044208	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.765856604180409	875	4649	9497	77378311.3443278	46
20231117 045407	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1139	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.430292030410013	918	17478	13178	77036878.5607196	47
20231117 050510	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1005	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.586573450002954	578	18140	10989	77339928.5357321	48
20231117 050720	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.874391671487612	566	17764	11644	73414278.8605697	49
20231117 051008	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.466118079255279	681	6985	10874	57228466.7666167	50
20231117 051229	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.793299387693143	724	10133	10851	85186848.075962	51
20231117 051501	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.26713394963603	719	2636	11722	64312816.5917041	52
20231117 051719	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.63562037220526	798	18564	11938	73358257.8710645	53
20231117 051940	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.668264049890596	289	15277	9066	75016260.8695652	54
20231117 052213	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.382201079440681	11	6571	12014	86465798.1009495	55
20231117 052508	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.343725152984269	513	19679	8547	60210400.2998501	56
20231117 052755	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.307446379548439	588	19143	8547	60210400.2998501	57
20231117 053043	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.61669064490538	98	7644	10227	86724343.3283358	58
20231117 053442	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.14425005914816	893	14106	12359	83691457.7711144	59
20231117 053734	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.605265125008031	439	6394	12748	79956763.6181909	60
20231117 054031	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.226652063806199	887	10816	12790	90518675.6621689	61
20231117 054401	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.53551383200406	1005	16979	12518	70338497.7511244	62
